Run,manSellers,Buyers,manBuyers,Sellers,riskAversion,maxRounds,Trades,manTarget,actualPrice,finalPrice
1,0,498,0,498,0.25,2500,356,94,0,49.99994793787938
2,0,498,0,498,0.25,2500,344,0,50,50
3,0,498,0,498,0.25,2500,338,18,0,50
4,0,498,0,498,0.25,2500,358,52,50,50
5,0,498,0,498,0.25,2500,362,56,50,68.75153755059021
6,0,498,0,498,0.25,2500,353,25,50,49.99465432154524
7,0,498,0,498,0.25,2500,346,91,0,50
8,0,498,0,498,0.25,2500,360,85,50,50
9,0,498,0,498,0.25,2500,359,37,0,50.00930445332622
10,0,498,0,498,0.25,2500,342,28,50,50
11,0,498,0,498,0.25,5000,355,27,50,50
12,0,498,0,498,0.25,5000,366,49,50,50
13,0,498,0,498,0.25,5000,358,65,100,50
14,0,498,0,498,0.25,5000,348,57,0,50
15,0,498,0,498,0.25,5000,344,36,50,50
16,0,498,0,498,0.25,5000,365,78,100,50
17,0,498,0,498,0.25,5000,342,62,0,50
18,0,498,0,498,0.25,5000,345,87,100,50
19,0,498,0,498,0.25,5000,343,56,0,50
20,0,498,0,498,0.25,5000,343,50,0,50
21,0,498,0,498,0.75,2500,0,79,0,0
22,0,498,0,498,0.75,2500,375,41,50,59.42673301316208
23,0,498,0,498,0.75,2500,378,50,50,50.31168311829296
24,0,498,0,498,0.75,2500,380,0,100,49.91714579413974
25,0,498,0,498,0.75,2500,374,40,0,50.09014238086583
26,0,498,0,498,0.75,2500,376,6,100,50.967880248958274
27,0,498,0,498,0.75,2500,363,57,50,50.50210874048892
28,0,498,0,498,0.75,2500,371,80,100,48.16873907467991
29,0,498,0,498,0.75,2500,373,72,50,52.18308963955935
30,0,498,0,498,0.75,2500,377,39,100,53.89905948620434
31,0,498,0,498,0.75,5000,377,88,100,52.81701543854448
32,0,498,0,498,0.75,5000,0,4,0,0
33,0,498,0,498,0.75,5000,376,45,50,47.003075657342286
34,0,498,0,498,0.75,5000,385,93,0,50.292865597027856
35,0,498,0,498,0.75,5000,367,79,0,50.208881802686264
36,0,498,0,498,0.75,5000,376,38,100,51.7998810975547
37,0,498,0,498,0.75,5000,378,41,0,50.65806206427715
38,0,498,0,498,0.75,5000,0,97,0,0
39,0,498,0,498,0.75,5000,0,46,0,0
40,0,498,0,498,0.75,5000,385,90,50,49.729906867161226
41,0,498,0,999,0.25,2500,358,28,0,25
